type	latitude	longitude	eos	name	desc	kml_folder
T	59.358456590	18.075142569				
T	59.358428404	18.072968307				
T	59.358410449	18.071584684				
T	59.358453569	18.067231245				
T	59.358420100	18.064661352				
T	59.358384002	18.061893766				
T	59.358363349	18.060312283				
T	59.358544589	18.058916806				
T	59.358521308	18.057137227				
T	59.358589923	18.054758135				
T	59.358653318	18.051982939				
T	59.358716672	18.049207099				
T	59.358706268	18.048415891				
T	59.358588325	18.047038459				
T	59.358562277	18.045060649				
T	59.358546635	18.043873958				
T	59.358520540	18.041896132				
T	59.358594132	18.039910306				
T	59.358570594	18.038130041				
T	59.358641525	18.035945708				
T	59.358730794	18.035145853				
T	59.358906753	18.033347690				
T	59.358898877	18.032753988				
T	59.359080138	18.031350756				
T	59.359161590	18.029956006				
T	59.359342943	18.028551648				
T	59.359526996	18.027344710				
T	59.359516452	18.026552463				
T	59.359597949	18.025156355				
T	59.359674165	18.023363703				
T	59.359647734	18.021382600				
T	59.359642444	18.020986377				
T	59.359629214	18.019995815				
T	59.359600084	18.017816570				
T	59.359594784	18.017420340				
T	59.359378961	18.016253010				
T	59.359257815	18.014679295				
T	59.359139335	18.013303948				
T	59.359015549	18.011532890				
T	59.358910380	18.011148128				
T	59.358700110	18.010378858				
T	59.358589688	18.009598509				
T	59.358061839	18.007479677				
T	59.357846592	18.006316380				
T	59.357639420	18.005746775				
T	59.357526542	18.004770110				
T	59.357104549	18.003039384				
T	59.356997105	18.002458745				
T	59.356779612	18.001100312				
T	59.356559530	17.999544975				
T	59.356342195	17.998187789				
T	59.356323488	17.996805528				
T	59.356208158	17.995633699				
T	59.356092845	17.994462124				
T	59.355977545	17.993290806				
T	59.355958792	17.991908978				
T	59.355741627	17.990554214				
T	59.355728215	17.989567398				
T	59.355717481	17.988777947				
T	59.355698685	17.987396390				
T	59.355690625	17.986804286				
T	59.355677186	17.985817447				
T	59.355765609	17.985013815				
T	59.355854049	17.984209992				
T	59.355937118	17.983011107				
T	59.356022889	17.982009404				
T	59.356202564	17.980597830				
T	59.356387703	17.979580713				
T	59.356564813	17.977970328				
T	59.356747391	17.976754492				
T	59.356927332	17.975340401				
T	59.357018683	17.974731966				
T	59.357292839	17.972905833				
T	59.357389687	17.972692462				
T	59.357569871	17.971276291				
T	59.358216017	17.967403634				
T	59.358982093	17.964895493				
T	59.359582093	17.964796425				
T	59.360383333	17.964664120				
T	59.361286421	17.964514982				
T	59.361987333	17.964199885				
T	59.362689332	17.963884287				
T	59.363294264	17.963784090				
T	59.364102090	17.963650276				
T	59.364506543	17.963583276				
T	59.365215200	17.963465874				
T	59.365519247	17.963415500				
T	59.365924961	17.963348279				
T	59.366435359	17.963464045				
T	59.366841885	17.963396775				
T	59.367658781	17.963462204				
T	59.368474381	17.963327404				
T	59.369089792	17.963426612				
T	59.369706028	17.963525954				
T	59.370835642	17.963541038				
T	59.371248857	17.963674412				
T	59.371659682	17.963606856				
T	59.372487960	17.963874032				
T	59.373005697	17.963990921				
T	59.373629960	17.964292554				
T	59.374255061	17.964594600				
T	59.374777544	17.964913876				
T	59.375616950	17.965587010				
T	59.375930731	17.965738761				
T	59.376558929	17.966042561				
T	59.377089536	17.966767982				
T	59.377199049	17.967155897				
T	59.377024299	17.969615832				
T	59.376734658	17.971281978				
T	59.376540744	17.972324722				
T	59.376453468	17.973553195				
T	59.376470001	17.974765677				
T	59.376494782	17.976584376				
T	59.376505788	17.977392682				
T	59.376423980	17.979024479				
T	59.376749211	17.979989449				
T	59.376891534	17.982804305				
T	59.377017384	17.984406814				
T	59.377189782	17.989446694				
T	59.377466029	17.994474148				
T	59.377485121	17.995889653				
T	59.377739493	17.999301519				
T	59.378078984	18.001286139				
T	59.378207596	18.003094618				
T	59.378440408	18.004891256				
T	59.378665158	18.006081404				
T	59.378999739	18.007665137				
T	59.379342661	18.009857683				
T	59.379774008	18.010824311				
T	59.380101156	18.011803288				
T	59.380442061	18.013796966				
T	59.380893306	18.016186806				
T	59.381339510	18.018172860				
T	59.381664948	18.018952895				
T	59.382006815	18.020952246				
T	59.382658769	18.022515865				
T	59.382985070	18.023298489				
T	59.383092985	18.023491699				
T	59.383430375	18.025088754				
T	59.383757183	18.025872910				
T	59.383978773	18.026667380				
T	59.384200459	18.027462218				
T	59.384422241	18.028257428				
T	59.384760486	18.029858354				
T	59.384982507	18.030654575				
T	59.385098942	18.031460394				
T	59.385220785	18.032674010				
T	59.385239628	18.034100649				
T	59.385356099	18.034907045				
T	59.384952218	18.036368453				
T	59.384005221	18.036649732				
T	59.383373177	18.036701337				
T	59.382009374	18.037015964				
T	59.381484875	18.037058662				
T	59.380856259	18.037109833				
T	59.380330391	18.036949730				
T	59.379700666	18.036798357				
T	59.379071795	18.036647197				
T	59.378342302	18.036707060				
T	59.377715269	18.036556188				
T	59.377400738	18.036379812				
T	59.376562135	18.035842787				
T	59.376352053	18.035658232				
T	59.375616175	18.034912147				
T	59.375303056	18.034736745				
T	59.374884114	18.034368741				
T	59.374566158	18.033790847				
T	59.373936206	18.033038796				
T	59.373515819	18.032470943				
T	59.372467817	18.031154060				
T	59.372051400	18.030788840				
T	59.371630029	18.030022424				
T	59.371214353	18.029658053				
T	59.370378791	18.028529333				
T	59.369961565	18.027965747				
T	59.369335090	18.027021200				
T	59.368816763	18.026468571				
T	59.368505512	18.026097282				
T	59.367781834	18.025365201				
T	59.367471271	18.024994712				
T	59.367262571	18.024614654				
T	59.366436660	18.023695024				
T	59.365820178	18.023156018				
T	59.365409644	18.022797086				
T	59.364898315	18.022448521				
T	59.364485942	18.021891084				
T	59.364382243	18.021702012				
T	59.363768481	18.021165581				
T	59.363250998	18.020221804				
T	59.362946089	18.020053763				
T	59.362429507	18.019111469				
T	59.361916145	18.018368872				
T	59.361094339	18.017063390				
T	59.360387384	18.016740992				
T	59.359776228	18.016012118				
T	59.359770922	18.015615795	1			
T	59.384735636	18.035978379				
T	59.386115582	18.036273190				
T	59.386648039	18.036433922				
T	59.387502310	18.036773201				
T	59.387821043	18.036747311				
T	59.388352750	18.036704122				
T	59.389100858	18.036848234				
T	59.389530041	18.037018442				
T	59.389956919	18.036983955				
T	59.390707595	18.037128547				
T	59.391569302	18.037469984				
T	59.392325267	18.037820613				
T	59.392864825	18.037983342				
T	59.393189940	18.038163302				
T	59.393733197	18.038532083				
T	59.394274369	18.038695478				
T	59.394818872	18.039065006				
T	59.395361291	18.039228908				
T	59.395793507	18.039195239				
T	59.396226122	18.039161537				
T	59.397092549	18.039094038				
T	59.397740704	18.038836727				
T	59.398392476	18.038785797				
T	59.399045152	18.038734793				
T	59.399807752	18.038675196				
T	59.400353224	18.038632565				
T	59.400790057	18.038598423				
T	59.401558216	18.038746056				
T	59.401996166	18.038711922				
T	59.402324894	18.038686300				
T	59.403202625	18.038617883				
T	59.403642103	18.038583625				
T	59.403861996	18.038566484				
T	59.404852778	18.038489244				
T	59.405073233	18.038472057	1			
T	59.411534612	17.916330090				
T	59.411454141	17.914951119				
T	59.411314310	17.913686312				
T	59.411176167	17.912536948				
T	59.411100634	17.911503628				
T	59.411071428	17.909438682				
T	59.411043819	17.907488455				
T	59.411085243	17.906111778				
T	59.411255110	17.905193363				
T	59.411240461	17.904160316				
T	59.411233948	17.903701184				
T	59.411220919	17.902782919				
T	59.411267240	17.901749213				
T	59.411259089	17.901175218				
T	59.411252566	17.900716020				
T	59.411241149	17.899912426				
T	59.411232991	17.899338429				
T	59.411224832	17.898764433				
T	59.411154058	17.898076807				
T	59.411140996	17.897158539				
T	59.411127928	17.896240269				
T	59.411121393	17.895781135				
T	59.411103412	17.894518513				
T	59.411035917	17.894061106				
T	59.411024469	17.893257729				
T	59.411001560	17.891650972				
T	59.410978636	17.890044212				
T	59.410911153	17.889587489				
T	59.410840411	17.888901418				
T	59.410562525	17.886503056				
T	59.410409740	17.884330411				
T	59.410270140	17.883075852				
T	59.410009194	17.881828840				
T	59.409881286	17.881377627				
T	59.409814076	17.880923114				
T	59.409686271	17.880472339				
T	59.409493052	17.879682224				
T	59.409362137	17.879003325				
T	59.409040073	17.877650653				
T	59.408845727	17.876748536				
T	59.408777150	17.876181418				
T	59.408525988	17.875513100				
T	59.408330411	17.874498725				
T	59.408079725	17.873831983				
T	59.407952843	17.873384843				
T	59.407699282	17.872491305				
T	59.407329289	17.871836165				
T	59.407023059	17.871404852				
T	59.406649252	17.870410460				
T	59.406340664	17.869753507				
T	59.406158331	17.869541512				
T	59.405729646	17.868782752				
T	59.405243984	17.868144094				
T	59.404998277	17.867598702				
T	59.404752835	17.867053909				
T	59.404510924	17.866736053				
T	59.404208495	17.866310950				
T	59.404083718	17.865869721				
T	59.403835996	17.865100990				
T	59.403414949	17.864576200				
T	59.403172843	17.864147823				
T	59.402689411	17.863292467				
T	59.402446454	17.862752844				
T	59.401961318	17.861675358				
T	59.401542152	17.861043628				
T	59.401242066	17.860512884				
T	59.400641469	17.859341367				
T	59.400284482	17.858819341				
T	59.399747635	17.857869947				
T	59.399390451	17.857238303				
T	59.398915094	17.856397702				
T	59.398620131	17.855984925				
T	59.398264747	17.855356426				
T	59.397796644	17.854854402				
T	59.397504788	17.854555110				
T	59.396977836	17.853839390				
T	59.396682212	17.853207804				
T	59.396160448	17.852717151				
T	59.395636698	17.852005857				
T	59.395230916	17.851503063				
T	59.394827498	17.851111918				
T	59.394424825	17.850721501				
T	59.393911649	17.850457329				
T	59.393454370	17.850075907				
T	59.393113652	17.849900637				
T	59.392831203	17.849828251				
T	59.392493078	17.849763530				
T	59.392267422	17.849683763				
T	59.391875905	17.849736765				
T	59.391652506	17.849767007				
T	59.391260519	17.849710076				
T	59.390923272	17.849536002				
T	59.390419998	17.849384965				
T	59.389914715	17.849015434				
T	59.389522715	17.848740773				
T	59.389295387	17.848334297				
T	59.389068295	17.847928245				
T	59.388731291	17.847538223				
T	59.388394811	17.847148821				
T	59.388225174	17.846845351				
T	59.388002384	17.846658980				
T	59.387778234	17.846363919				
T	59.387496381	17.845859522				
T	59.387329036	17.845665965				
T	59.386994738	17.845279316				
T	59.386713901	17.844776553				
T	59.386601668	17.844575630				
T	59.386322927	17.844182303				
T	59.386042958	17.843681047				
T	59.385764937	17.843288816				
T	59.385543097	17.842997066				
T	59.385206796	17.842289440				
T	59.384987117	17.842106761				
T	59.384654846	17.841616932				
T	59.384264413	17.840812450				
T	59.384045697	17.840630950				
T	59.383820868	17.840018130				
T	59.383490391	17.839531265				
T	59.383381400	17.839440990				
T	59.383162006	17.839152872				
T	59.382779000	17.838676286				
T	59.382450126	17.838191666				
T	59.382176714	17.837806302				
T	59.381740615	17.837233698				
T	59.381250669	17.836564131				
T	59.380814882	17.835886958				
T	59.380379979	17.835211184				
T	59.380157337	17.834499510				
T	59.379830892	17.833914256				
T	59.379613538	17.833524589				
T	59.379397978	17.833242080				
T	59.379179488	17.832746460				
T	59.378907077	17.832154311				
T	59.378577804	17.831252944				
T	59.378195062	17.830256333				
T	59.377974631	17.829550842				
T	59.377754419	17.828846072				
T	59.377482215	17.828152107				
T	59.377046138	17.826958674				
T	59.376661353	17.825651229				
T	59.376329140	17.824335567				
T	59.375783884	17.822641273				
T	59.375348020	17.821246636				
T	59.375075649	17.820350005				
T	59.374748932	17.819254420				
T	59.374580249	17.818337764				
T	59.374252683	17.817139467				
T	59.373975358	17.815826006				
T	59.373693644	17.814198114				
T	59.373308301	17.812490954				
T	59.372974699	17.810774601				
T	59.372639997	17.808955718				
T	59.372237498	17.805996975				
T	59.371940467	17.803227007				
T	59.371529557	17.799648412				
T	59.370908786	17.795608353				
T	59.370433103	17.791012485				
T	59.370100219	17.789113678				
T	59.369994641	17.788829798				
T	59.370297263	17.788740396				
T	59.370748875	17.788396582				
T	59.370899108	17.788246876				
T	59.371147629	17.787857343				
T	59.371242675	17.787407770				
T	59.371388511	17.786942793				
T	59.371432906	17.786507944				
T	59.371524906	17.785847790				
T	59.371566146	17.785202714				
T	59.371605798	17.784452493				
T	59.371704257	17.784211467				
T	59.371701069	17.784001460	1			
T	59.410509196	17.901299696				
T	59.409984669	17.897896170				
T	59.409941682	17.894807591				
T	59.409275781	17.892642250				
T	59.408619165	17.891096315				
T	59.408293263	17.890478198				
T	59.408117455	17.889244098				
T	59.406987041	17.887701023				
T	59.406328480	17.885852826				
T	59.406008070	17.885545164				
T	59.405201313	17.884315306				
T	59.404548910	17.882779187				
T	59.403748354	17.881859973				
T	59.403271964	17.881554751				
T	59.402158980	17.880638974				
T	59.401039429	17.879111845				
T	59.399617742	17.878202391				
T	59.398667509	17.877291399				
T	59.398190800	17.876683562				
T	59.397242789	17.875774913				
T	59.396136499	17.874564057				
T	59.395346910	17.873656981				
T	59.394877084	17.873357267				
T	59.394252648	17.873059621				
T	59.393319359	17.872766015				
T	59.392533435	17.871862351				
T	59.391589953	17.870657929				
T	59.390498213	17.869761539				
T	59.389412734	17.869170339				
T	59.388167251	17.867976307				
T	59.387085982	17.867387973				
T	59.386006666	17.866800737				
T	59.385539811	17.866203702				
T	59.384768221	17.865612760				
T	59.384149951	17.865019722				
T	59.383675976	17.863820359				
T	59.383215187	17.863527595				
T	59.382585677	17.862031305				
T	59.381805023	17.860540083				
T	59.381640454	17.859639121				
T	59.381471643	17.858436960				
T	59.381125541	17.855430888				
T	59.380961113	17.854531087				
T	59.380792428	17.853330247				
T	59.380593713	17.850021071				
T	59.380429377	17.849122349				
T	59.380412178	17.847917561				
T	59.380369134	17.844905594				
T	59.380659112	17.843990664				
T	59.380949231	17.843075247				
T	59.381967945	17.840018266				
T	59.382267369	17.839704130				
T	59.383010099	17.838465179				
T	59.383749444	17.836922452				
T	59.384354619	17.836593637				
T	59.385108705	17.835955261				
T	59.385710938	17.835322888				
T	59.386152141	17.834091243				
T	59.387214878	17.833435939				
T	59.387819284	17.832801031				
T	59.388573488	17.831854728				
T	59.389324291	17.830603535				
T	59.389772612	17.829669767				
T	59.390375288	17.828727478				
T	59.391295807	17.828376681				
T	59.391900052	17.827432430				
T	59.392818567	17.826775552				
T	59.394039623	17.825491542				
T	59.394651103	17.824848498				
T	59.395272027	17.824815200				
T	59.396355797	17.824451334				
T	59.397134282	17.824409375				
T	59.398689892	17.824019160				
T	59.399467017	17.823670488				
T	59.400562895	17.823610831				
T	59.401503821	17.823559606				
T	59.402603443	17.823499737				
T	59.403700653	17.823132295				
T	59.404331074	17.823097801				
T	59.405431466	17.822729424				
T	59.406538335	17.822668560				
T	59.407330208	17.822625014				
T	59.408281835	17.822572680				
T	59.409389518	17.822202543				
T	59.410344418	17.822149769				
T	59.411460385	17.822088090				
T	59.412254304	17.821734226				
T	59.412573954	17.821716473				
T	59.413694066	17.821654259				
T	59.414655819	17.821600837				
T	59.415297841	17.821565174				
T	59.416096846	17.821209782				
T	59.416887940	17.820231959				
T	59.418141485	17.817668431				
T	59.418917284	17.815440288				
T	59.419060845	17.814184198				
T	59.419352567	17.811982632				
T	59.420080152	17.806317426				
T	59.420543374	17.804724175				
T	59.420687278	17.803464674				
T	59.421448165	17.799972344				
T	59.422489443	17.793324484				
T	59.424161256	17.785043000				
T	59.424478228	17.784388586				
T	59.425434748	17.782736564				
T	59.426547248	17.780439707				
T	59.427202327	17.780380774				
T	59.428181655	17.779978097				
T	59.429157950	17.779260323				
T	59.429651308	17.779215535				
T	59.430135824	17.778541348				
T	59.430771659	17.776906882				
T	59.431412798	17.775585616				
T	59.432215185	17.773931953				
T	59.432375790	17.773600938				
T	59.433032571	17.773222398				
T	59.434348264	17.772464039				
T	59.435505325	17.772036184				
T	59.436992878	17.771258738				
T	59.438159632	17.771145578				
T	59.438660349	17.771097012				
T	59.439830279	17.770983527				
T	59.440667309	17.770902327				
T	59.441673250	17.770804733				
T	59.442848930	17.770690661				
T	59.443694760	17.770927372				
T	59.445047678	17.771115580				
T	59.446229808	17.771001481				
T	59.447414206	17.770887150				
T	59.448431213	17.770788969				
T	59.450129951	17.770624954				
T	59.451151437	17.770526317				
T	59.452160475	17.769465734				
T	59.452658547	17.768453666				
T	59.453655908	17.766426922				
T	59.455145545	17.762737425				
T	59.455474437	17.761737629				
T	59.455798763	17.760415640				
T	59.455951500	17.759111051				
T	59.456443175	17.757447587				
T	59.456596065	17.756141814				
T	59.457069214	17.753188169				
T	59.457872881	17.749226379				
T	59.458864465	17.746206172				
T	59.459531202	17.744512486				
T	59.460347663	17.741181653				
T	59.461179614	17.738815476				
T	59.462017506	17.736769268				
T	59.463208865	17.735000265				
T	59.463546924	17.734309136				
T	59.464213949	17.732277666				
T	59.465036662	17.728924396				
T	59.466219373	17.726169073				
T	59.466554249	17.725148892				
T	59.467234251	17.723756481				
T	59.467725314	17.721411087				
T	59.467885848	17.720412131				
T	59.468377420	17.718063889				
T	59.469035074	17.715038140				
T	59.469191056	17.713711629				
T	59.469347075	17.712384713				
T	59.469830007	17.709378531				
T	59.469981280	17.707724507				
T	59.470308401	17.706043908				
T	59.470459775	17.704388638				
T	59.470772418	17.701728497				
T	59.470928793	17.700397826				
T	59.471241643	17.697735304				
T	59.471711182	17.693738533				
T	59.472382139	17.691341870				
T	59.472533950	17.689681187				
T	59.472690731	17.688346537				
T	59.473509823	17.683954806				
T	59.474152962	17.679586573				
T	59.474811644	17.676194661				
T	59.475485951	17.673780856				
T	59.475988424	17.671722981				
T	59.476141049	17.670053896				
T	59.477977357	17.661832536				
T	59.478140459	17.660815293				
T	59.478313632	17.660454199				
T	59.478630019	17.657761750				
T	59.479293401	17.654343123				
T	59.480146276	17.651543583				
T	59.480314978	17.650851637				
T	59.480647474	17.649138224				
T	59.480985191	17.647752797				
T	59.482342961	17.642532244				
T	59.483379711	17.639680228				
T	59.484058313	17.636896256				
T	59.484582990	17.635796317				
T	59.485097944	17.634034939				
T	59.485958851	17.631205955				
T	59.486660672	17.629733321				
T	59.487001679	17.628334808				
T	59.487518646	17.626566374				
T	59.488212015	17.624426749				
T	59.488906160	17.622284532				
T	59.489595958	17.619808216				
T	59.489948833	17.619066397				
T	59.490816503	17.616214221				
T	59.491705946	17.614686329				
T	59.492409157	17.612864144				
T	59.492951244	17.612410413				
T	59.493823124	17.609545941				
T	59.494356124	17.608424384				
T	59.495423494	17.606178252				
T	59.495957865	17.605053652				
T	59.496482349	17.603261022				
T	59.497007267	17.601466760				
T	59.497716499	17.599628313				
T	59.498252841	17.598498530				
T	59.498763674	17.595696855				
T	59.499648940	17.593139753				
T	59.500366386	17.591626688				
T	59.500355969	17.590957403				
T	59.501433674	17.588683782				
T	59.502523682	17.587076514				
T	59.503249668	17.585891582				
T	59.504157018	17.584324430				
T	59.504890120	17.583472120				
T	59.505810319	17.582573364				
T	59.506907927	17.580954680				
T	59.507638975	17.579761675				
T	59.508370879	17.578567214				
T	59.509103626	17.577371298				
T	59.510024710	17.576127394				
T	59.510759377	17.574928344				
T	59.511129670	17.574497099				
T	59.511860352	17.572958083				
T	59.512780182	17.571369799				
T	59.513324271	17.569874360				
T	59.513874117	17.568716030				
T	59.514781014	17.566105631				
T	59.515321541	17.564266345				
T	59.516057115	17.562715553				
T	59.516777614	17.560144935				
T	59.517504256	17.557910657	1			
T	59.412151123	17.914787988				
T	59.412577962	17.915562606				
T	59.413981269	17.916494855				
T	59.416647885	17.917554222				
T	59.418481949	17.918442361				
T	59.419752441	17.918845778				
T	59.421029496	17.919527655				
T	59.422863496	17.919310819				
T	59.423853567	17.919193745				
T	59.424561851	17.919109985				
T	59.425412989	17.919009324				
T	59.426538899	17.918038011				
T	59.427528261	17.917360914				
T	59.428376656	17.916699700				
T	59.429365661	17.915740480				
T	59.430643017	17.914744582				
T	59.431212910	17.914394585				
T	59.431923343	17.913746285				
T	59.433066376	17.913043987				
T	59.433779204	17.912393647				
T	59.434770581	17.910863226				
T	59.435337359	17.909947228				
T	59.435912129	17.909593092				
T	59.436628652	17.908938665				
T	59.437628897	17.907682740				
T	59.438496720	17.907289465				
T	59.438929281	17.906951467				
T	59.439362181	17.906613204				
T	59.440228997	17.905935855				
T	59.440951138	17.905276304				
T	59.441520583	17.904069023				
T	59.442522263	17.902236312				
T	59.443236194	17.900722684				
T	59.443958536	17.899774142				
T	59.444972151	17.898500775				
T	59.445111749	17.897913128				
T	59.446127480	17.896636598				
T	59.446698534	17.895134365				
T	59.447273940	17.893914961				
T	59.447694589	17.892145776				
T	59.448123096	17.890944533				
T	59.448699986	17.889721151				
T	59.448977327	17.888254140				
T	59.449844226	17.886414842				
T	59.450422914	17.885186967				
T	59.450716273	17.884857934				
T	59.451589692	17.883298453				
T	59.452025019	17.882374861				
T	59.452609788	17.881428156				
T	59.453206578	17.881338649				
T	59.454233453	17.879749992				
T	59.454532634	17.879704722				
T	59.455127662	17.879327515				
T	59.455873288	17.878927119				
T	59.456773922	17.878790342				
T	59.457525546	17.878676185				
T	59.458432632	17.878826439				
T	59.459643055	17.878931230				
T	59.460402310	17.879104823				
T	59.461313984	17.879255802				
T	59.462689969	17.879915573				
T	59.463761182	17.880333560				
T	59.464834394	17.880752353				
T	59.465295503	17.880973394				
T	59.465776133	17.882641372				
T	59.466849251	17.882773486				
T	59.467771216	17.882928332				
T	59.468391794	17.883418404				
T	59.469465976	17.883261253				
T	59.471004030	17.883036208				
T	59.472237453	17.882855710				
T	59.472700672	17.882787917				
T	59.473933907	17.882315373				
T	59.475464742	17.880628611				
T	59.476532997	17.879006801				
T	59.476844101	17.878960352				
T	59.477622599	17.878844113				
T	59.479022685	17.878341621				
T	59.480117016	17.878177897				
T	59.481213429	17.878013842				
T	59.481997858	17.877896458				
T	59.482315804	17.878143159				
T	59.483731241	17.877931690				
T	59.484361439	17.877837526				
T	59.485150151	17.877719669				
T	59.486568660	17.877212278				
T	59.486885221	17.877164881				
T	59.487518865	17.877070005				
T	59.488625516	17.876608357				
T	59.489261067	17.876513011				
T	59.490211800	17.876074015				
T	59.491008527	17.875954260				
T	59.492125780	17.875786309				
T	59.492445388	17.875738260				
T	59.494042163	17.875200819				
T	59.496298358	17.875456849				
T	59.497917497	17.875810502				
T	59.500026713	17.876092709				
T	59.503297978	17.877403417				
T	59.505263153	17.877713872				
T	59.506076701	17.877293686				
T	59.507535274	17.875875129				
T	59.508520205	17.875728891				
T	59.522185596	17.872310324				
T	59.510539689	17.875595480				
T	59.511297500	17.875281957				
T	59.512165667	17.874953081				
T	59.513366227	17.874790422				
T	59.514241532	17.874671818				
T	59.514893589	17.874159057				
T	59.515220002	17.873902365				
T	59.515653742	17.873418432				
T	59.516423750	17.873313074				
T	59.516974622	17.873237693				
T	59.517523398	17.872949705				
T	59.518407460	17.872828486				
T	59.519182544	17.872722202				
T	59.520292290	17.872570011				
T	59.520959545	17.872478496				
T	59.521739346	17.872371536				
T	59.521962412	17.872340938				
T	59.522967669	17.872203039				
T	59.523751194	17.872095547				
T	59.524536174	17.871987846				
T	59.525097768	17.871910789				
T	59.525772666	17.871818180				
T	59.526448640	17.871725416				
T	59.527351620	17.871601491				
T	59.528256525	17.871477290				
T	59.528823073	17.871399523				
T	59.529731121	17.871274872				
T	59.530641113	17.871149942				
T	59.530982862	17.871103022				
T	59.531553055	17.871024733				
T	59.532466951	17.870899244				
T	59.533041998	17.871037200				
T	59.533959089	17.870911492				
T	59.534881023	17.871002507				
T	59.535571621	17.870908008				
T	59.536497029	17.870999192				
T	59.537077501	17.871137868				
T	59.537774523	17.871260977				
T	59.538472675	17.871384287				
T	59.538936818	17.871321235				
T	59.539753158	17.871428990				
T	59.540568163	17.871318472				
T	59.541151256	17.871239396				
T	59.541618300	17.871176055				
T	59.542436847	17.871065035				
T	59.543019586	17.870766484				
T	59.543485771	17.870483494				
T	59.544540160	17.870120001				
T	59.545010895	17.870055769				
T	59.545833019	17.869723336				
T	59.546302266	17.869438798				
T	59.547129763	17.869325433				
T	59.547837401	17.869007707				
T	59.548667840	17.868893705				
T	59.549496963	17.868558666				
T	59.550566150	17.868190094				
T	59.550801841	17.867936056				
T	59.551515520	17.867615756				
T	59.551990988	17.867328099				
T	59.552466980	17.867040109				
T	59.553063435	17.866735108				
T	59.553777931	17.866190989				
T	59.554376195	17.865884909				
T	59.555448713	17.864843641				
T	59.555928521	17.864553059				
T	59.557007836	17.863730942				
T	59.557974379	17.863370136				
T	59.558578457	17.863060515				
T	59.559673205	17.862904346				
T	59.560642724	17.862317717				
T	59.561131240	17.862247761				
T	59.561865031	17.862142675				
T	59.562354907	17.862072516				
T	59.563581987	17.861896760				
T	59.564812495	17.861720491				
T	59.565305661	17.861649839				
T	59.566293647	17.861508287				
T	59.566540991	17.861472847				
T	59.567410747	17.861574143				
T	59.568033887	17.861711094				
T	59.568654940	17.861622415				
T	59.569152412	17.861551378				
T	59.570398530	17.861373421				
T	59.571147886	17.861266395				
T	59.572023739	17.861141292				
T	59.572274296	17.861105501				
T	59.573277953	17.860962125				
T	59.574790675	17.860973849				
T	59.575168917	17.860919902				
T	59.576052718	17.860793843				
T	59.576688068	17.860931556				
T	59.577321329	17.860841385				
T	59.578593537	17.860889061				
T	59.579229503	17.860798653				
T	59.580759512	17.860581124				
T	59.581782429	17.860435672				
T	59.582166624	17.860381038				
T	59.582936003	17.860271623				
T	59.583578161	17.860180294				
T	59.584224244	17.860318711				
T	59.585771389	17.860099038				
T	59.586291296	17.860256061				
T	59.586549970	17.860219395				
T	59.587332904	17.860570652				
T	59.587984371	17.860709926				
T	59.588633757	17.860618371				
T	59.589417271	17.860739567				
T	59.590068718	17.860647878				
T	59.590721104	17.860556051				
T	59.590985339	17.860750927				
T	59.592031722	17.860603900				
T	59.592424738	17.860548674				
T	59.592952321	17.860707117				
T	59.593480507	17.860865747				
T	59.594538719	17.861183562				
T	59.595869476	17.861931254				
T	59.596136698	17.862127650				
T	59.596665534	17.862054554				
T	59.597191954	17.861748111				
T	59.598113898	17.861152578				
T	59.598503078	17.860396372				
T	59.599551691	17.859078170				
T	59.599675710	17.858357602				
T	59.599799759	17.857636807				
T	59.600051013	17.856428608				
T	59.600166015	17.855004977				
T	59.600159914	17.854536824				
T	59.600132442	17.852430140				
T	59.600126334	17.851961983				
T	59.599841453	17.850597638				
T	59.599820061	17.848959525				
T	59.599807831	17.848023458				
T	59.599922732	17.846598671				
T	59.599913551	17.845896493				
T	59.600155661	17.843981895				
T	59.600146469	17.843279497				
T	59.600131143	17.842108814				
T	59.600382569	17.840895071				
T	59.600758436	17.838955913				
T	59.601016361	17.838209064				
T	59.601004070	17.837271490				
T	59.601255989	17.836054978				
T	59.601635672	17.834346098				
T	59.601751010	17.832915872				
T	59.601875620	17.832189152				
T	59.601997187	17.831227519				
T	59.602243493	17.829538133				
T	59.602355897	17.827871241				
T	59.602483762	17.827378028				
T	59.602733428	17.825921318				
T	59.602970859	17.823523752				
T	59.603486354	17.821780943				
T	59.603480159	17.821310672				
T	59.603858644	17.819355014				
T	59.604099768	17.817187393				
T	59.604350336	17.815724614				
T	59.604732668	17.813999775				
T	59.604996031	17.813477223				
T	59.605115330	17.812273345				
T	59.605630210	17.810283320				
T	59.606155043	17.808998593				
T	59.606148806	17.808526758				
T	59.606542058	17.807502964				
T	59.606803370	17.806741208				
T	59.607465146	17.805425482				
T	59.607995265	17.804371464				
T	59.608383883	17.802870486				
T	59.608911959	17.801577086				
T	59.609041723	17.801075952				
T	59.609817977	17.797828947				
T	59.610465368	17.795078963	1			
T	59.609736595	17.796867637				
T	59.609720392	17.795668306				
T	59.610015569	17.793210894				
T	59.610134783	17.789881773				
T	59.610049353	17.783581926				
T	59.609975946	17.778181735				
T	59.609918736	17.773981377				
T	59.610025312	17.769748077				
T	59.610168745	17.768214637				
T	59.610316314	17.766980923				
T	59.610275257	17.763979015				
T	59.610242374	17.761577411				
T	59.610365234	17.758540933				
T	59.610336396	17.756439107				
T	59.610135278	17.753771766				
T	59.610106384	17.751670125				
